name	label	aggregator	fieldType	displayType	alias
双频道消费时长/双频道列表页点击PV*60	次均点击时长(秒)		4	number	次均点击时长_S_
浏览UV/曝光UV	消费用户渗透率		4	number	消费用户渗透率
case when expose_pv>0 then did end	曝光UV	distinct-count	2	number	曝光UV_原
曝光PV/曝光UV_原	人均曝光PV		4	number	人均曝光PV
点击PV_只有列表页有点击/点击UV	人均点击PV		4	number	人均点击PV
case when is_vliad_user_new='是' then did else null end	新版有效用户DAU	distinct-count	2	number	新版有效用户DAU
if(is_vliad_user_new='是' and page='列表页' and feed_channel in('热点','推荐'), dura, 0) + if(is_vliad_user_new='是',consum_dura ,0 )	新版总有效时长	sum	2	number	新版总有效时长
新版总有效时长/新版有效用户DAU	新版人均有效时长		4	number	新版人均有效时长
case when is_valid_user_new_no_push='是' then did else null end	新版有效用户DAU_不含push	distinct-count	2	number	新版有效用户DAU_不含push
if(is_valid_user_new_no_push='是' and page='列表页' and feed_channel in ('热点','推荐'), dura, 0) + if(is_valid_user_new_no_push='是' and feed_channel not in ('push'), consum_dura ,0 )	新版总有效时长_不含push	sum	2	number	新版总有效时长_不含push
新版总有效时长_不含push/新版有效用户DAU_不含push	新版人均有效时长_不含push		4	number	新版人均有效时长_不含push
新版有效用户DAU/曝光UV	新版有效用户渗透率		4	number	新版有效用户渗透率
新版有效用户DAU_不含push/信息流DAU_不含push	新版有效用户渗透率_不含push		4	number	新版有效用户渗透率_不含push
